"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23601","Start Preparation for Moisture worksheet","Moisture - Profile","Mon May 12 19:40:22 GMT 2025","passed","Mon May 12 19:40:46 GMT 2025","","","",""
"","23338","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Mon May 12 19:27:10 GMT 2025","passed","Mon May 12 19:27:33 GMT 2025","","","",""
"","16175","Set dilution factor for Terpenes worksheet","Terpenes - Profile","Mon May 12 19:29:58 GMT 2025","passed","Mon May 12 19:30:15 GMT 2025","","","",""
"","32937","Order Creation For Test Customer","Cannabinoids - Profile","Mon May 12 19:20:17 GMT 2025","passed","Mon May 12 19:20:50 GMT 2025","","","",""
"","32418","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Mon May 12 19:34:41 GMT 2025","passed","Mon May 12 19:35:13 GMT 2025","","","",""
"","36952","Set Up Worksheet For Moisture Sample","Moisture - Profile","Mon May 12 19:39:13 GMT 2025","passed","Mon May 12 19:39:50 GMT 2025","","","",""
"","35505","Publish Moisture results","Moisture - Profile","Mon May 12 19:41:52 GMT 2025","passed","Mon May 12 19:42:27 GMT 2025","","","",""
"","28857","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Mon May 12 19:22:55 GMT 2025","passed","Mon May 12 19:23:23 GMT 2025","","","",""
"","32302","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Mon May 12 19:23:23 GMT 2025","passed","Mon May 12 19:23:56 GMT 2025","","","",""
"","23686","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Mon May 12 19:33:11 GMT 2025","passed","Mon May 12 19:33:35 GMT 2025","","","",""
"","16238","Set dilution factor for Residual Solvents worksheet","Residual Solvents - Profile","Mon May 12 19:35:37 GMT 2025","passed","Mon May 12 19:35:53 GMT 2025","","","",""
"","24740","Order Creation For Test Customer","Residual Solvents - Profile","Mon May 12 19:31:43 GMT 2025","passed","Mon May 12 19:32:07 GMT 2025","","","",""
"","40771","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Mon May 12 19:32:07 GMT 2025","passed","Mon May 12 19:32:48 GMT 2025","","","",""
"","16185","Set dilution factor for Cannabinoids worksheet","Cannabinoids - Profile","Mon May 12 19:24:19 GMT 2025","passed","Mon May 12 19:24:36 GMT 2025","","","",""
"","31958","Set up instruments for Moisture worksheet","Moisture - Profile","Mon May 12 19:39:50 GMT 2025","passed","Mon May 12 19:40:22 GMT 2025","","","",""
