"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44368","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Thu Jun 12 20:37:02 GMT 2025","passed","Thu Jun 12 20:37:47 GMT 2025","","","",""
"","36875","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Thu Jun 12 20:49:21 GMT 2025","passed","Thu Jun 12 20:49:57 GMT 2025","","","",""
"","24360","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Thu Jun 12 20:51:48 GMT 2025","passed","Thu Jun 12 20:52:13 GMT 2025","","","",""
"","40169","Sample Creation For Moisture Profile","Moisture - Profile","Thu Jun 12 20:53:15 GMT 2025","passed","Thu Jun 12 20:53:55 GMT 2025","","","",""
"","24535","Verify Results in Moisture worksheet","Moisture - Profile","Thu Jun 12 20:56:40 GMT 2025","passed","Thu Jun 12 20:57:05 GMT 2025","","","",""
"","36848","Set Up Worksheet For Moisture Sample","Moisture - Profile","Thu Jun 12 20:54:42 GMT 2025","passed","Thu Jun 12 20:55:19 GMT 2025","","","",""
"","42777","Publish Cannabinoids results","Cannabinoids - Profile","Thu Jun 12 20:41:18 GMT 2025","passed","Thu Jun 12 20:42:01 GMT 2025","","","",""
"","23435","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Thu Jun 12 20:48:33 GMT 2025","passed","Thu Jun 12 20:48:57 GMT 2025","","","",""
"","35422","Publish Moisture results","Moisture - Profile","Thu Jun 12 20:57:05 GMT 2025","passed","Thu Jun 12 20:57:40 GMT 2025","","","",""
"","24580","Order Creation For Test Customer","Moisture - Profile","Thu Jun 12 20:52:50 GMT 2025","passed","Thu Jun 12 20:53:15 GMT 2025","","","",""
"","30360","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jun 12 20:38:54 GMT 2025","passed","Thu Jun 12 20:39:24 GMT 2025","","","",""
"","36900","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Thu Jun 12 20:38:17 GMT 2025","passed","Thu Jun 12 20:38:54 GMT 2025","","","",""
"","28654","Set up materials for Terpenes worksheet","Terpenes - Profile","Thu Jun 12 20:44:33 GMT 2025","passed","Thu Jun 12 20:45:02 GMT 2025","","","",""
"","23568","Start Preparation for Moisture worksheet","Moisture - Profile","Thu Jun 12 20:55:51 GMT 2025","passed","Thu Jun 12 20:56:14 GMT 2025","","","",""
"","25800","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Thu Jun 12 20:43:31 GMT 2025","passed","Thu Jun 12 20:43:57 GMT 2025","","","",""
"","28113","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jun 12 20:40:26 GMT 2025","passed","Thu Jun 12 20:40:54 GMT 2025","","","",""
"","30399","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Thu Jun 12 20:37:47 GMT 2025","passed","Thu Jun 12 20:38:17 GMT 2025","","","",""
"","23953","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Thu Jun 12 20:48:57 GMT 2025","passed","Thu Jun 12 20:49:21 GMT 2025","","","",""
"","24503","Order Creation For Test Customer","Terpenes - Profile","Thu Jun 12 20:42:03 GMT 2025","passed","Thu Jun 12 20:42:27 GMT 2025","","","",""
"","28576","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Thu Jun 12 20:49:57 GMT 2025","passed","Thu Jun 12 20:50:26 GMT 2025","","","",""
"","36016","Publish Residual Solvents results","Residual Solvents - Profile","Thu Jun 12 20:52:13 GMT 2025","passed","Thu Jun 12 20:52:49 GMT 2025","","","",""
"","25814","Import Results for Moisture worksheet","Moisture - Profile","Thu Jun 12 20:56:14 GMT 2025","passed","Thu Jun 12 20:56:40 GMT 2025","","","",""
"","26103","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Thu Jun 12 20:51:22 GMT 2025","passed","Thu Jun 12 20:51:48 GMT 2025","","","",""
"","43038","Order Creation For Test Customer","Cannabinoids - Profile","Thu Jun 12 20:35:07 GMT 2025","passed","Thu Jun 12 20:35:50 GMT 2025","","","",""
"","32326","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Thu Jun 12 20:50:26 GMT 2025","passed","Thu Jun 12 20:50:58 GMT 2025","","","",""
"","36649","Set Up Worksheet For Terpenes Sample","Terpenes - Profile","Thu Jun 12 20:43:57 GMT 2025","passed","Thu Jun 12 20:44:33 GMT 2025","","","",""
"","23889","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jun 12 20:40:02 GMT 2025","passed","Thu Jun 12 20:40:26 GMT 2025","","","",""
"","24511","Order Creation For Test Customer","Residual Solvents - Profile","Thu Jun 12 20:47:28 GMT 2025","passed","Thu Jun 12 20:47:53 GMT 2025","","","",""
"","36464","Publish Terpenes results","Terpenes - Profile","Thu Jun 12 20:46:50 GMT 2025","passed","Thu Jun 12 20:47:27 GMT 2025","","","",""
"","24667","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Thu Jun 12 20:40:54 GMT 2025","passed","Thu Jun 12 20:41:18 GMT 2025","","","",""
"","40214","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Thu Jun 12 20:47:53 GMT 2025","passed","Thu Jun 12 20:48:33 GMT 2025","","","",""
"","23476","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Thu Jun 12 20:43:08 GMT 2025","passed","Thu Jun 12 20:43:31 GMT 2025","","","",""
"","31961","Set up instruments for Moisture worksheet","Moisture - Profile","Thu Jun 12 20:55:19 GMT 2025","passed","Thu Jun 12 20:55:51 GMT 2025","","","",""
"","37183","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jun 12 20:39:24 GMT 2025","passed","Thu Jun 12 20:40:02 GMT 2025","","","",""
"","23654","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Thu Jun 12 20:54:18 GMT 2025","passed","Thu Jun 12 20:54:42 GMT 2025","","","",""
"","32362","Set up instruments for Terpenes worksheet","Terpenes - Profile","Thu Jun 12 20:45:02 GMT 2025","passed","Thu Jun 12 20:45:34 GMT 2025","","","",""
"","23791","Start Preparation for Terpenes worksheet","Terpenes - Profile","Thu Jun 12 20:45:34 GMT 2025","passed","Thu Jun 12 20:45:58 GMT 2025","","","",""
"","27505","Import Results for Terpenes worksheet","Terpenes - Profile","Thu Jun 12 20:45:58 GMT 2025","passed","Thu Jun 12 20:46:26 GMT 2025","","","",""
"","24498","Verify Results in Terpenes worksheet","Terpenes - Profile","Thu Jun 12 20:46:26 GMT 2025","passed","Thu Jun 12 20:46:50 GMT 2025","","","",""
"","72436","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Thu Jun 12 20:35:50 GMT 2025","passed","Thu Jun 12 20:37:02 GMT 2025","","","",""
"","23848","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Thu Jun 12 20:50:58 GMT 2025","passed","Thu Jun 12 20:51:22 GMT 2025","","","",""
"","40056","Sample Creation For Terpenes Profile","Terpenes - Profile","Thu Jun 12 20:42:27 GMT 2025","passed","Thu Jun 12 20:43:08 GMT 2025","","","",""
"","23382","Receive Sample Partitions For Moisture Profile","Moisture - Profile","Thu Jun 12 20:53:55 GMT 2025","passed","Thu Jun 12 20:54:18 GMT 2025","","","",""
